"country","year","group","country_code","region","fh_regime_class","membership","visa_free","visa_dialogue","taxation","customs","public_procurement","competition","business_environment","sme_development","money_laundering","budget_control","anticorruption_policy","public_administration","elections","judiciary","civil_society_development","freedom_of_expression","human_rights","minority_rights","freedom_of_assembly","assistance_manual","assistance_fts","words","corruption","progress_words","positive","negative","difference","internet_pct","broadband","fh_national_democratic_governance","fh_electoral_process","fh_civil_society","fh_independent_media","fh_local_democratic_governance","fh_judicial_independence","fh_corruption","fh_democracy_score","fh_democracy_percentage","fh_dem_percentage_rounded","e_wbgi_cce","v2x_cspart","v2juhcind","v2jucorrdc","v2juaccnt","v2xcs_ccsi","v2cseeorgs","v2csreprss","v2cscnsult","v2csstruc_nr","v2csprtcpt","v2csantimv","v2cacamps","v2caassemb","v2capolit","v2x_corr","v2x_execorr","v2x_pubcorr","e_fh_cl","e_fh_pr","e_fh_rol","e_fh_status","e_wbgi_gee","e_wbgi_pve","e_wbgi_rle","e_wbgi_rqe","e_wbgi_vae","e_migdppcln","e_ti_cpi","v2x_freexp_altinf","v2x_polyarchy","v2x_libdem","v2x_partipdem","internet_pct_norm","broadband_norm","coc_norm","fh_independent_media_norm","progress_borzel","progress_corr_only","progress_ipi","socialisation_borzel","socialisation_ipi","socialisation_corr_only","socialisation_coc","population","assistance_man_per_capita","assistance_fts_per_capita","export","export_per_capita","gee_dum","year_factor","v2smpolsoc","v2smpolsoc_ord","pred","gdp","assistance_share","export_share","duration","georgia","pred_ipi","pred_coc","progress_dum","progress_ipi_logit","socialisation_ipi_logit","socialisation_e_wbgi_cce","pred_ipi_plm","pred_coc_plm"
"Ukraine",2004,"EaP","ukr","Eurasia","T/H","0",0,"0",1,2,2,0,0,0,2,0,1,1,1,1,1,0,1,0,2,50,50,11095,0.0017124831,0.002703921,0.1815013,0.04555542,0.13594588,3.49,0.28,3,4.5,5,3.25,2.75,3.75,2.25,3.5,41.67,42,-0.933,0.522,0.47,-2.071,-1.013,0.613,0.905,0.292,0.097,5,0.181,2.336,-1.304,0.525,0.161,0.845,0.787,0.734,3,4,NA,2,-0.6,-0.472,-0.757,-0.4,-0.671,8.99,NA,0.564,0.381,0.279,0.262,0,0.0189739985945186,0.15320197044335,1.2,0.4,0.583333333333333,0.384123916608105,0.391666666666667,0.324720710040879,0.458333333333333,0.21564039408867,47451626,1.05,1.05370467178511,8511.9,179.380575915354,0,"2004",-0.551,1,0.415540738027976,64819702951.6826,1.61987783372393e-05,0.131316553646426,0,0,0.415540738027976,0.390044192340984,0,-0.472080579940903,-0.767252820491414,-0.80625,-0.294351619589187,-0.150880712873678
"Ukraine",2005,"EaP","ukr","Eurasia","T/H","0",0,"0",1,1,0,2,1,2,2,2,1,1,2,1,2,2,1,2,2,100,100,7456,0.0022800429,0.006706009,0.06290825,0.02189494,0.04101331,3.75,0.28,3,4.5,5,3.25,2.75,3.75,2.25,3.5,41.67,42,-0.722,0.692,-0.121,-2.619,-0.375,0.798,1.373,1.872,0.997,11,0.181,-0.515,0.3,1.583,0.161,0.829,0.771,0.706,2,3,11,1,-0.64,-0.286,-0.779,-0.535,-0.285,9.05,NA,0.815,0.449,0.306,0.314,0.0057452215224837,0.0189739985945186,0.257142857142857,1.2,0.7,0.583333333333333,0.551029967504875,0.366666666666667,0.347070545351154,0.416666666666667,0.283743842364532,47105171,2.12,2.12290918124467,8718.3,185.081591148454,0,"2005",-0.941,0,0.464193965164943,86057915585.3026,2.46345729568433e-05,0.101307357268701,1,0,0.464193965164943,0.31165679716749,1,0.204833052417824,-0.631941030735605,-0.668,-0.362823886149796,-0.124468427841304
"Ukraine",2007,"EaP","ukr","Eurasia","T/H","0",0,"0",0,1,0,0,0,0,1,2,0,1,1,2,2,2,1,1,2,142,10.18032882,9860,0.0019269777,0.005172414,0.06873145,0.02885999,0.03987147,6.55,1.72,3.25,5,5.25,4.25,2.75,3.5,2.25,3.75,45.83,46,-0.797,0.647,0.119,-2.11,-0.701,0.792,1.218,2.144,0.765,11,0.232,-0.738,-0.796,2.54,0.201,0.846,0.787,0.742,2,3,10,1,-0.67,0.173,-0.727,-0.432,0.064,9.25,NA,0.857,0.606,0.429,0.398,0.067616837918462,0.120168657765285,0.220197044334975,1.73333333333333,0.4,0.5,0.413379951209045,0.433333333333333,0.391324732291203,0.479166666666667,0.285344827586207,46509355,3.05,0.218887766127911,12484.2,268.423417181339,0,"2007",-0.378,1,0.474279638383668,142579603960.396,2.13915589276513e-05,0.0875595081851098,3,0,0.474279638383668,0.283260886986207,0,-0.350010185164272,-0.459771887175709,-0.66475,0.0995735779993732,0.0322673712341199
"Ukraine",2008,"EaP","ukr","Eurasia","T/H","0",0,"1",0,1,1,1,0,2,1,1,1,1,0,0,1,1,2,0,1,138.6,96.73893881,10674,0.0018737118,0.004122166,0.71484489,0.04440486,0.67044003,11,3.46,3.25,5,5.25,4.5,2.75,3.25,2.25,3.75,45.83,46,-0.838,0.666,-0.034,-2.11,-0.578,0.792,1.218,2.144,0.857,11,0.232,-0.653,-0.271,2.167,0.022,0.841,0.789,0.718,2,3,10,1,-0.72,0.042,-0.681,-0.534,0.091,9.29,NA,0.861,0.619,0.427,0.405,0.165948513976356,0.242445537596627,0.2,1.86666666666667,0.4,0.416666666666667,0.386460863259985,0.491666666666667,0.476487007598518,0.479166666666667,0.293103448275862,46258189,3,2.09128244968691,14642.1,316.529901332713,0,"2008",-0.289,1,0.571545409849735,179816790704.739,1.66836477741727e-05,0.0814278796914048,4,0,0.571545409849735,0.373280755510785,0,-0.462213451136374,-0.0974508474623407,-0.649,0.0944935955088693,0.0322800253606507
"Ukraine",2009,"EaP","ukr","Eurasia","T/H","0",0,"1",1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0,1,116,14.92583901,12326,0.0013791984,0.004137595,0.06424777,0.02260998,0.0416378,17.9,4.15,3,4.5,5.25,4.5,2.75,3,2.25,3.61,43.45,43,-1.039,0.666,-0.034,-2.11,-0.578,0.777,1.218,1.909,0.857,11,0.232,-0.653,-1.302,2.167,0.022,0.868,0.845,0.766,2,3,10,1,-0.83,-0.302,-0.759,-0.57,0.059,9.15,NA,0.865,0.619,0.428,0.391,0.318417854380731,0.290934645115952,0.100985221674877,1.86666666666667,0.4,0.5,0.43650079859014,0.525,0.481632808045474,0.541666666666667,0.288793103448276,46053331,2.52,0.324099010557999,7943,172.473951992745,0,"2009",-0.289,1,0.567111577641123,117113410001.027,2.15176041751145e-05,0.0678231468106884,5,0,0.567111577641123,0.365036712610314,0,-0.255375711473823,-0.0766268693702226,-0.65775,0.156737753474019,0.0390410434809715
"Ukraine",2010,"EaP","ukr","Eurasia","T/H","0",0,"1",0,1,1,0,0,1,1,0,0,1,2,1,0,0,0,0,0,66,111.75723323,11687,0.001625738,0.004534953,0.09110344,0.05095889,0.04014455,23.3,6.45,3,4.5,5.25,4.5,2.75,3,2.25,3.61,43.45,43,-1.027,0.556,-0.871,-2.11,-0.578,0.719,1.113,1.256,-0.026,11,0.167,-0.304,-0.727,1.705,0.333,0.889,0.848,0.779,3,3,9,2,-0.78,0.013,-0.808,-0.516,-0.084,9.17,NA,0.719,0.509,0.306,0.309,0.437741686001547,0.452565003513703,0.106896551724138,1.86666666666667,0.266666666666667,0.333333333333333,0.323207223174247,0.5,0.507733479240086,0.5625,0.291995073891626,45870741,1.44,2.43635116402414,11554.9,251.901315481256,0,"2010",-0.562,1,0.530765296551969,136013155905.036,1.05872111445264e-05,0.0849542819818665,6,0,0.530765296551969,0.343912748319973,0,-0.739071460368854,0.0363535316968755,-0.65125,0.169606751155577,0.0343556687209845
"Ukraine",2011,"EaP","ukr","Eurasia","T/H","0",0,"1",1,1,1,0,0,1,2,1,0,1,0,1,2,0,0,0,0,105,175.33020667,8938,0.0027970463,0.005034683,0.0619757,0.02562146,0.03635425,28.71,6.96,2.5,4.5,5.25,4.25,2.5,2.5,2.25,3.39,39.88,40,-1.05,0.551,-0.871,-2.11,-0.578,0.722,1.156,1.256,-0.102,11,0.167,-0.455,-1.615,1.705,0.333,0.889,0.848,0.779,3,4,8,2,-0.82,-0.07,-0.819,-0.603,-0.132,9.24,NA,0.72,0.498,0.295,0.299,0.557286487680919,0.488404778636683,0.0955665024630541,1.73333333333333,0.3,0.5,0.449126024985456,0.491666666666667,0.522426032032791,0.541666666666667,0.32487684729064,45706086,2.3,3.83603633594878,15159.2,331.666990693537,0,"2011",-0.393,1,0.539206619579631,163159671670.265,1.40966206689123e-05,0.09291021393225,7,0,0.539206619579631,0.291704161947362,0,-0.20420253489651,0.0805612225416335,-0.5845,0.113056153369335,0.0245819931189469
"Ukraine",2013,"EaP","ukr","Eurasia","T/H","0",0,"1",0,1,0,0,0,1,2,1,1,0,1,1,1,0,1,0,0,186,21.53261243,11121,0.0020681593,0.003956479,0.05437583,0.0285735,0.02580233,40.95,8.86,2.25,4,5.25,4,2.5,2,2,3.14,35.71,36,-1.132,0.606,-0.773,-2.133,-0.7,0.723,1.109,1.232,-0.024,11,0.629,-0.138,-1.522,0.47,0.333,0.89,0.848,0.779,3,4,7,2,-0.65,-0.777,-0.804,-0.624,-0.315,9.25,25,0.706,0.481,0.29,0.306,0.827753839354767,0.621925509486999,0.0551724137931035,1.6,0.3,0.416666666666667,0.377069972868407,0.508333333333333,0.535645525347256,0.479166666666667,0.392980295566502,45489648,4.09,0.473351924596119,13887,305.278247042052,0,"2013",-1.189,0,0.537980459539069,183310146378.081,2.23119127926737e-05,0.0757568540224597,9,0,0.537980459539069,0.214561490026311,0,-0.502003421827762,0.163536645781552,-0.44625,-0.291968526646714,0.0408882812497682
"Ukraine",2014,"EaP","ukr","Eurasia","T/H","0",0,"1",1,0,0,1,0,1,1,2,1,1,1,2,2,1,1,1,2,242,428.53933104,9140,0.0024070022,0.004266958,0.05981196,0.03489474,0.02491722,46.24,9.31,2,4,5.5,3.75,2.5,2,1.75,3.07,34.52,35,-0.994,0.844,-1.216,-1.236,0.5,0.736,0.975,0.649,1.314,11,1.833,2.114,1.704,-0.432,0.485,0.811,0.723,0.717,3,3,6,2,-0.41,-2.021,-0.791,-0.629,-0.142,9.19,26,0.638,0.42,0.237,0.299,0.944647000331455,0.653548840477864,0.123152709359606,1.46666666666667,0.466666666666667,0.583333333333333,0.461035937811499,0.566666666666667,0.640198031021681,0.541666666666667,0.414778325123153,45272156,5.35,9.465847640214,13734.6,303.378526969204,1,"2014",-1.686,0,0.609465616448726,133503411375.739,4.0073882344045e-05,0.102878269989256,10,0,0.609465616448726,0.210684913955554,0,-0.156172897545793,0.597537600954751,-0.402,-0.0932442776337629,0.0157054218439958
"Ukraine",2016,"EaP","ukr","Eurasia","T/H","0",0,"1",1,1,1,1,2,2,2,1,2,2,1,0,2,0,1,0,2,199.5,16.12896574,8189,0.0029307608,0.001587495,0.13845524,0.04180158,0.09665366,53,12.03,2.25,4.5,5.75,4,2.75,2,2,3.32,38.69,39,-0.814,0.803,-1.041,-1.415,0.98,0.758,0.83,1.788,1.411,11,1.349,0.629,1.731,0.992,0.485,0.772,0.635,0.626,3,3,6,2,-0.57,-1.856,-0.766,-0.43,0.002,9.13,29,0.664,0.419,0.255,0.289,1.09402275991603,0.844694307800422,0.211822660098522,1.6,0.566666666666667,0.666666666666667,0.564113211154852,0.644444444444444,0.645546544689193,0.777777777777778,0.4311986863711,45004674,4.43,0.358384236712836,13183.4,292.934018364404,0,"2016",-1.299,0,0.611204836750382,93355993628.5042,4.74527647108391e-05,0.141216428507647,12,0,0.611204836750382,0.173934693703968,1,0.257872409332799,0.731696157404163,-0.368666666666667,0.035872307188821,0.0441339662170587
